,FSC-A,FSC-H,SSC-A,PE-A,APC-A,Time
0,212973.6,99435.0,58496.492,12705.12,306.44,61.2
1,204368.64,111450.0,40739.77,28617.66,241.24,61.3
2,262143.0,104410.0,78780.74,40009.71,314.59,61.3
3,12006.4,6372.0,21010.85,155.7,138.55,61.4
4,231798.56,106697.0,47716.86,21412.21,241.24,61.4
5,174325.77,92423.0,36167.38,13288.13,197.23,61.5
6,180834.08,91171.0,29641.82,18017.951,262.43,61.5
7,116408.32,77897.0,29273.33,13729.28,114.1,61.5
8,73885.28,46843.0,41931.742,347.73,309.7,61.5
9,140698.88,83746.0,20472.82,10392.11,101.06,61.5
10,199866.23,96794.0,45784.45,23034.951,242.87,61.6
11,135496.48,74125.0,33363.05,14552.76,161.37,61.6
12,228359.05,89331.0,98071.97,35087.86,552.57,61.6
13,201119.52,104298.0,22877.52,12347.01,145.06999,61.6
14,22109.92,12560.0,57859.85,50.170002,366.75,61.7
15,164946.88,88588.0,31832.0,8035.85,280.36,61.7
16,207523.69,104712.0,36407.85,22718.36,151.59,61.7
17,175399.84,98880.0,34816.25,6771.22,268.95,61.7
18,151497.92,89398.0,19647.61,9572.09,122.25,61.8
19,243644.8,101182.0,68376.52,29332.15,247.76,61.8
20,139489.28,73837.0,30712.69,11243.2705,272.21,61.8
21,222455.52,104617.0,42547.62,14424.74,198.86,61.8
22,208400.64,101818.0,53707.85,15307.04,326.0,61.8
23,149204.16,88593.0,21671.71,16469.6,176.04,61.9
24,262143.0,97348.0,156111.73,39886.88,2945.41,61.9
25,262143.0,98150.0,68035.71,18758.39,386.31,61.9
26,223176.8,103587.0,36390.55,24100.63,179.3,61.9
27,191325.12,98056.0,32693.541,9203.601,192.34,62.0
28,261028.33,98507.0,99367.74,32897.68,604.73,62.0
29,180109.44,88294.0,36985.67,23581.63,208.64,62.0
30,162066.23,89590.0,27737.09,16256.811,193.97,62.0
31,179684.95,90976.0,42139.34,8416.45,195.6,62.0
32,116725.28,70227.0,40648.082,18329.35,268.95,62.0
33,212844.8,96148.0,83041.734,18478.13,423.8,62.1
34,207309.77,104792.0,35679.52,10772.71,96.17,62.1
35,200780.16,92721.0,42362.51,17313.84,211.9,62.1
36,196089.6,97485.0,27100.451,19751.41,166.26,62.1
37,232042.72,110488.0,24820.31,14665.21,63.57,62.1
38,188163.36,90401.0,50138.86,14912.601,229.83,62.1
39,123454.24,66312.0,45268.91,14718.84,145.06999,62.2
40,262143.0,119148.0,62065.48,31404.69,265.69,62.2
41,247276.97,111465.0,29735.24,18031.791,74.98,62.2
42,262143.0,100493.0,54849.652,31646.89,229.83,62.2
43,91654.08,62221.0,16836.36,11653.28,128.77,62.2
44,172765.6,101933.0,18315.51,11006.26,14.67,62.2
45,186912.33,90436.0,30576.02,3539.58,105.95,62.2
46,175495.05,100133.0,35989.19,7956.27,143.44,62.2
47,119154.56,67695.0,37189.81,27667.89,171.15,62.2
48,262143.0,115555.0,107607.734,26422.291,546.05,62.3
49,216106.23,100225.0,42455.93,20258.3,159.74,62.3
50,231015.69,109151.0,51898.27,25953.46,299.92,62.3
51,171299.52,91044.0,23503.78,15362.4,114.1,62.3
52,262143.0,110254.0,41973.26,13298.51,187.45,62.3
53,159037.77,93892.0,22310.08,14421.28,163.0,62.3
54,210371.84,101342.0,35345.63,11872.99,140.18,62.3
55,169916.33,89514.0,28795.85,24555.621,71.72,62.3
56,133580.16,77963.0,33172.75,11004.53,159.74,62.3
57,186941.44,107938.0,24628.28,12722.42,218.42,62.4
58,162113.28,84056.0,39494.17,17092.4,193.97,62.4
59,262143.0,97846.0,54702.6,43590.81,348.82,62.4
60,157784.48,89793.0,25749.32,22272.02,154.85,62.4
61,183822.23,90757.0,39604.89,22201.09,233.09,62.5
62,5978.56,6088.0,934.2,480.94,-58.68,62.5
63,223574.4,103000.0,51896.54,26327.14,293.4,62.5
64,262143.0,96137.0,103853.63,39696.582,435.21,62.5
65,262143.0,96815.0,79687.26,24771.871,308.07,62.5
66,145079.2,79404.0,24047.0,12675.71,153.22,62.5
67,262143.0,110564.0,50830.86,65051.46,549.31,62.5
68,173740.0,94813.0,33560.27,9354.11,29.34,62.5
69,224679.84,111409.0,34916.59,19827.53,184.19,62.6
70,100159.36,62413.0,34421.81,9385.25,123.88,62.6
71,198066.4,96801.0,30790.541,25403.32,252.65,62.6
72,173536.16,88037.0,34693.42,2935.81,203.75,62.6
73,196096.33,103908.0,27821.86,8239.99,145.06999,62.6
74,184293.77,97122.0,32517.08,14988.72,143.44,62.6
75,219577.12,96972.0,38034.05,27666.16,293.4,62.6
76,205418.08,103916.0,29683.34,23038.41,117.36,62.6
77,157776.64,92852.0,35738.34,19993.61,47.27,62.6
78,203613.77,107052.0,37888.73,19895.0,220.05,62.7
79,169424.64,79930.0,56121.2,10968.2,237.98,62.8
80,155921.92,82460.0,58316.57,17331.14,244.5,62.8
81,204906.23,100101.0,39271.0,15632.28,190.71,62.8
82,262143.0,100412.0,52803.062,37239.98,340.67,62.8
83,60654.72,32850.0,30754.21,195.49,159.74,62.8
84,262143.0,105145.0,61069.0,28609.01,317.85,62.8
85,192945.77,101896.0,28903.11,21432.97,154.85,62.8
86,157388.0,79388.0,44433.32,15488.69,255.91,62.9
87,237031.2,100473.0,64139.75,18190.951,337.41,62.9
88,158673.77,90184.0,29240.46,10374.811,81.5,62.9
89,259598.08,116053.0,63888.902,10682.75,278.73,62.9
90,262143.0,119289.0,54749.312,10516.67,281.99,62.9
91,182892.64,101404.0,29946.3,11866.07,189.08,62.9
92,188251.84,100705.0,37670.75,18367.41,158.11,63.0
93,244011.05,100015.0,35003.09,19976.31,203.75,63.1
94,211890.56,100273.0,48047.29,21085.24,179.3,63.1
95,211899.52,106337.0,39677.55,14590.82,234.72,63.1
96,186185.44,83236.0,47773.95,26296.0,340.67,63.2
97,203278.88,111072.0,41784.69,20043.78,187.45,63.2
98,158081.28,89045.0,26398.07,12366.04,154.85,63.2
99,225688.97,103960.0,45436.72,14186.0,306.44,63.2
100,215832.95,100588.0,53970.812,3058.6401,177.67,63.2
101,132220.48,79359.0,24745.92,18550.791,153.22,63.2
102,159922.56,84301.0,28911.76,19064.6,180.93,63.2
103,219444.95,104889.0,34072.35,25254.541,265.69,63.2
104,191732.8,101156.0,29906.51,17537.01,172.78,63.2
105,199664.64,100181.0,34864.69,21645.76,179.3,63.3
106,262143.0,105592.0,84373.83,27939.5,471.07,63.3
107,206879.69,92488.0,44445.43,13282.94,195.6,63.4
108,140857.92,19345.0,231223.16,413.47,1282.8099,63.4
109,262143.0,101961.0,77606.07,31129.621,378.16,63.4
110,262143.0,115211.0,72609.83,27297.67,308.07,63.4
111,164482.08,93362.0,35982.27,15322.61,125.51,63.4
112,121199.68,58977.0,57243.97,1081.25,477.59,63.4
113,201531.69,111389.0,40824.54,23538.38,239.61,63.4
114,70689.92,41797.0,20564.51,186.84,237.98,63.5
115,198928.8,98775.0,34063.7,16815.6,130.4,63.5
116,196501.77,99151.0,34819.71,21993.49,229.83,63.5
117,220304.0,108157.0,38265.87,33018.78,241.24,63.5
118,12981.92,12560.0,2558.67,313.13,-6.52,63.5
119,61211.36,32636.0,35529.01,276.8,337.41,63.6
120,248130.4,107484.0,60280.12,19055.951,348.82,63.6
121,196648.48,104585.0,61754.082,17346.71,267.32,63.6
122,114666.72,56238.0,51929.41,359.84,342.3,63.6
123,196450.23,100284.0,47313.77,6203.7803,208.64,63.6
124,152666.08,87636.0,26925.72,13948.99,115.73,63.7
125,205546.88,102089.0,40250.18,31558.66,145.06999,63.7
126,159528.33,98188.0,27031.25,8798.78,148.33,63.7
127,176037.12,94337.0,26000.17,19869.05,141.81,63.7
128,198178.4,99953.0,44564.8,22318.73,295.03,63.7
129,215559.69,98713.0,36212.36,9579.01,223.31,63.7
130,205247.84,98035.0,46426.28,9874.84,246.13,63.7
131,201471.2,99314.0,51600.71,11712.101,239.61,63.8
132,169692.33,88405.0,34072.35,18533.49,192.34,63.8
133,195472.48,95512.0,42009.59,11227.7,159.74,63.8
134,96984.164,55043.0,39063.402,8632.7,169.52,63.8
135,226162.72,102713.0,50227.09,17663.3,251.02,63.8
136,209601.28,106697.0,40957.75,11070.2705,213.53,63.8
137,182603.69,89062.0,37151.75,25981.14,132.03,63.8
138,213709.44,104776.0,43303.63,29691.99,110.84,63.8
139,202771.52,103630.0,22315.27,19645.88,198.86,63.8
140,137126.08,86175.0,27716.33,22031.55,63.57,63.9
141,196841.12,100395.0,34721.1,13594.34,84.76,63.9
142,195613.6,102219.0,30133.14,21730.53,174.41,63.9
143,167339.2,99086.0,34504.85,11736.32,22.82,63.9
144,89042.24,43048.0,33823.23,178.19,234.72,64.0
145,191345.28,100771.0,34968.492,12824.49,123.88,64.0
146,227230.08,109277.0,37850.67,22147.46,145.06999,64.0
147,32073.44,11761.0,23355.0,249.12,220.05,64.0
148,202349.28,77484.0,99044.234,14615.04,518.34,64.0
149,262143.0,85955.0,167550.5,45253.34,948.66,64.0
150,207332.16,106053.0,36940.69,9279.72,252.65,64.1
151,177620.8,97397.0,24284.01,11423.19,205.38,64.1
152,217338.23,98444.0,48239.32,16727.371,239.61,64.1
153,187822.88,99036.0,35968.43,12122.11,195.6,64.1
154,176942.08,95451.0,27327.08,12070.21,88.02,64.1
155,170064.16,91135.0,25661.09,12540.7705,96.17,64.1
156,191655.52,94009.0,38663.77,11757.08,184.19,64.2
157,202199.2,95741.0,62779.97,19258.36,255.91,64.2
158,196548.8,100009.0,38814.28,23038.41,211.9,64.2
159,262143.0,106865.0,109206.25,55206.03,624.29,64.2
160,128714.88,72832.0,25005.42,21111.19,231.46,64.2
161,183758.4,99188.0,31980.781,12890.23,220.05,64.2
162,173335.69,82991.0,46301.72,35530.742,384.68,64.2
163,170458.4,94922.0,27970.64,20749.621,102.69,64.2
164,260479.52,118693.0,45232.582,22951.91,312.96,64.3
165,179213.44,99718.0,29832.121,13011.33,120.62,64.3
166,174480.33,84739.0,42769.06,17383.041,226.56999,64.4
167,196470.4,97543.0,45300.05,5717.65,179.3,64.4
168,173916.95,90056.0,31496.38,21413.94,180.93,64.4
169,248364.48,110233.0,64269.5,16135.71,350.45,64.5
170,198990.4,98097.0,47132.12,21069.67,236.35,64.5
171,262143.0,109666.0,122707.17,93949.38,702.52997,64.5
172,235436.33,114929.0,51583.41,20962.41,234.72,64.5
173,262143.0,104584.0,74995.5,42748.3,288.51,64.5
174,219198.56,106629.0,30093.35,19683.94,161.37,64.5
175,194994.23,103460.0,31415.07,11660.2,133.66,64.5
176,158833.92,88064.0,29064.0,16009.42,114.1,64.5
177,193935.84,98073.0,25064.24,11070.2705,158.11,64.6
178,125091.68,73339.0,23024.57,13052.851,151.59,64.6
179,160547.52,89986.0,27159.27,19751.41,158.11,64.6
180,201545.12,107238.0,32489.4,10573.76,169.52,64.7
181,260899.52,110449.0,60254.17,56081.41,326.0,64.7
182,208892.33,86793.0,106794.63,6805.8203,458.03,64.8
183,63197.12,34299.0,36452.832,181.65001,257.54,64.8
184,169554.56,83484.0,42552.81,30477.41,308.07,64.8
185,75213.6,44045.0,63653.62,354.65,389.57,64.8
186,171996.16,94742.0,27318.43,10155.101,114.1,64.8
187,218907.36,100084.0,37774.55,32333.701,228.2,64.8
188,160000.95,86583.0,22413.88,29870.18,163.0,64.8
189,189926.23,94797.0,25714.72,17628.7,88.02,64.9
190,262143.0,108013.0,73175.54,49791.13,322.74,64.9
191,195335.84,103728.0,28579.6,27161.0,202.12,64.9
192,152003.05,86496.0,25866.96,11565.05,71.72,64.9
193,222659.36,106399.0,27332.27,15787.98,203.75,65.0
194,67036.48,39971.0,33067.22,209.33,202.12,65.0
195,97648.32,52889.0,62113.92,678.16003,285.25,65.0
196,262143.0,113293.0,79839.5,37054.87,462.92,65.1
197,168585.77,95198.0,34881.992,8478.73,117.36,65.1
198,192239.05,83711.0,58365.01,19472.88,291.77,65.1
199,181481.44,93115.0,25258.0,22680.3,110.84,65.2
200,77574.56,44513.0,61537.832,569.17,366.75,65.2
201,152825.12,70781.0,47703.02,16225.67,396.09,65.2
202,171274.88,86432.0,58982.62,18841.43,241.24,65.3
203,194300.95,100817.0,46308.64,18460.83,262.43,65.3
204,177347.52,81983.0,84536.45,15341.641,614.51,65.3
205,149913.12,80550.0,27214.63,22029.82,185.81999,65.3
206,187696.33,103202.0,35300.65,19569.76,187.45,65.3
207,158152.95,85176.0,25668.01,23022.84,99.43,65.3
208,219476.33,108978.0,28747.41,12499.25,239.61,65.4
209,171040.8,87842.0,45108.02,17426.291,249.39,65.4
210,172256.0,81227.0,53368.77,15211.891,189.08,65.4
211,127133.44,77016.0,20130.28,14628.88,153.22,65.4
212,258497.12,102043.0,47291.28,15324.34,146.7,65.5
213,250047.84,111696.0,57685.12,29685.07,241.24,65.5
214,262143.0,106017.0,36068.77,14239.63,101.06,65.5
215,185879.69,92824.0,43511.23,12973.2705,167.89,65.5
216,262143.0,97512.0,66810.87,32122.64,347.19,65.5
217,113198.4,58257.0,42530.32,16915.94,149.96,65.6
218,217589.12,99168.0,54268.37,17464.35,190.71,65.6
219,184450.56,99236.0,37070.44,20016.1,151.59,65.6
220,200767.84,90796.0,34406.242,14146.21,177.67,65.6
221,253528.8,107198.0,78196.0,38520.18,379.79,65.7
222,262143.0,108501.0,40110.05,24647.31,213.53,65.7
223,168673.12,95648.0,35243.56,15324.34,110.84,65.7
224,185790.08,95349.0,27944.69,9630.91,27.71,65.7
225,180253.92,91104.0,45557.82,21657.871,198.86,65.7
226,167048.0,92772.0,25768.35,24354.94,197.23,65.8
227,262143.0,122326.0,128729.305,54643.78,647.11,65.8
228,165789.12,100567.0,29672.96,16952.27,114.1,65.8
229,188770.4,96964.0,39424.97,13187.79,140.18,65.8
230,21638.4,16609.0,3572.45,46.71,0.0,65.9
231,262143.0,90756.0,45606.26,33345.75,254.28,65.9
232,262143.0,113165.0,101390.11,63954.64,619.4,65.9
233,195211.52,93377.0,42454.2,17571.61,200.49,65.9
234,186743.2,97271.0,33392.46,12746.641,140.18,65.9
235,180448.8,100032.0,27482.781,13622.0205,81.5,66.0
236,173048.95,95238.0,30840.71,11096.22,136.92,66.0
237,228371.36,104849.0,41298.56,20917.43,288.51,66.0
238,218871.52,96944.0,48952.082,21818.76,249.39,66.0
239,232496.33,113069.0,51474.42,9528.84,267.32,66.0
240,199643.36,103436.0,27159.27,15312.23,133.66,66.1
241,176706.88,95270.0,25123.06,11601.38,149.96,66.1
242,154713.44,85059.0,34439.11,23078.201,161.37,66.1
243,227036.33,106950.0,54316.812,19247.98,239.61,66.2
244,262143.0,107977.0,110804.77,45768.88,562.35,66.2
245,189965.44,101941.0,33248.87,22733.93,118.99,66.2
246,208294.23,97634.0,39575.48,23374.03,267.32,66.3
247,198523.36,104237.0,34125.98,10411.14,190.71,66.4
248,231949.77,105725.0,40655.0,65582.57,249.39,66.4
249,170304.95,86588.0,55379.03,6764.3003,195.6,66.4
250,262143.0,118084.0,130070.055,45979.94,580.27997,66.4
251,214658.08,106262.0,41480.21,11059.89,185.81999,66.4
252,212892.95,103733.0,53962.16,18632.1,347.19,66.5
253,32406.08,14196.0,13590.88,115.91,237.98,66.5
254,23652.16,16664.0,14940.28,19.03,174.41,66.5
255,52968.16,27308.0,25946.541,143.59,267.32,66.5
256,246453.77,108455.0,42751.76,24285.74,254.28,66.6
257,170831.36,85320.0,52765.0,19926.14,244.5,66.6
258,7107.52,7241.0,870.19,285.45,37.49,66.6
259,186975.05,99968.0,32963.42,29973.98,179.3,66.6
260,183338.4,83757.0,38053.082,17758.451,169.52,66.6
261,258173.44,105432.0,60641.69,9933.66,337.41,66.6
262,183870.4,103306.0,25349.69,10952.63,78.24,66.7
263,56827.68,15087.0,92286.85,105.53,444.99,66.7
264,225255.52,108616.0,35077.48,18206.52,193.97,66.7
265,208290.88,108061.0,36298.86,13732.74,180.93,66.8
266,155666.56,90676.0,21190.77,14964.5,123.88,66.8
267,157232.33,81680.0,34368.18,11449.14,197.23,66.8
268,179370.23,77170.0,86956.72,20003.99,668.3,66.8
