,FSC-A,FSC-H,SSC-A,PE-A,APC-A,Time
0,160465.77,93191.0,25873.88,8321.3,132.03,51.9
1,262143.0,93623.0,61171.07,29501.69,444.99,51.9
2,262143.0,100662.0,72244.805,43575.242,405.87,51.9
3,191244.48,100577.0,26560.69,15672.07,78.24,51.9
4,172417.28,96940.0,27147.16,11556.4,146.7,51.9
5,98355.04,62966.0,25712.99,16485.17,195.6,52.0
6,209787.2,98244.0,27214.63,12002.74,174.41,52.0
7,163227.69,86953.0,77657.97,15871.0205,506.93,52.0
8,115918.88,71081.0,30503.36,14192.92,198.86,52.0
9,163134.72,94032.0,24898.16,23988.18,270.58,52.0
10,182127.69,80968.0,78815.34,27519.11,583.54,52.0
11,262143.0,128674.0,87773.28,48216.832,810.11,52.1
12,105114.24,62329.0,33267.9,10193.16,229.83,52.1
13,198858.23,108407.0,43000.88,23763.28,304.81,52.1
14,174016.64,88421.0,38949.22,6435.6,275.47,52.1
15,262143.0,117588.0,156525.22,85233.64,1494.71,52.2
16,200322.08,102985.0,35864.63,7034.18,176.04,52.2
17,217734.72,107164.0,51066.14,20400.16,366.75,52.2
18,262143.0,104175.0,59705.76,31560.39,568.87,52.2
19,262143.0,103117.0,71130.68,39262.35,694.38,52.2
20,46744.32,25504.0,13966.29,98.61,55.42,52.2
21,197564.64,105561.0,45317.35,11611.76,224.94,52.3
22,173470.08,85093.0,32780.04,20211.59,246.13,52.3
23,262143.0,108686.0,79692.45,43938.54,560.72,52.3
24,218603.84,126236.0,61510.152,20490.121,562.35,52.3
25,262143.0,101719.0,76877.74,57309.71,876.94,52.3
26,262143.0,101627.0,131585.53,66355.88,1145.89,52.4
27,218141.28,100329.0,39869.582,20958.951,286.88,52.4
28,85741.6,33832.0,44900.42,600.31,412.38998,52.4
29,168756.0,94901.0,21855.09,10312.53,197.23,52.4
30,262143.0,106164.0,72255.18,35788.51,586.8,52.4
31,173052.33,97312.0,29337.34,7776.35,158.11,52.4
32,209461.28,103790.0,42594.332,26941.291,299.92,52.4
33,262143.0,109637.0,185063.3,105538.65,1806.04,52.4
34,100289.28,68117.0,29506.88,10537.43,177.67,52.5
35,262143.0,106616.0,85207.69,50123.29,911.17,52.5
36,92575.84,51537.0,36684.652,13170.49,319.48,52.5
37,173455.52,95120.0,26304.65,14485.29,89.65,52.6
38,201742.23,93684.0,27200.791,6283.36,358.6,52.6
39,138484.64,82149.0,35511.71,14300.18,246.13,52.6
40,29887.2,10292.0,73201.49,107.26,363.49,52.6
41,157176.33,71784.0,68788.26,638.37,619.4,52.7
42,164696.0,87202.0,56562.35,10025.351,412.38998,52.7
43,169556.8,91112.0,37852.402,8726.12,203.75,52.7
44,137969.44,78861.0,32046.52,16395.21,252.65,52.8
45,138902.4,79840.0,32032.68,15080.41,255.91,52.8
46,129242.4,74758.0,32323.32,13881.5205,306.44,52.8
47,262143.0,108145.0,101890.08,33942.6,552.57,52.9
48,145696.33,81600.0,25322.01,5465.07,234.72,52.9
49,195413.12,89700.0,57065.78,15646.12,402.61,52.9
50,262143.0,101287.0,107953.734,65532.402,969.85,52.9
51,235131.69,105374.0,54661.082,19035.19,308.07,52.9
52,182593.6,82917.0,75877.805,41846.97,490.63,52.9
53,173902.4,99024.0,33759.22,10184.51,216.79,53.0
54,245766.08,106004.0,36416.5,19536.89,270.58,53.0
55,262143.0,102396.0,76187.47,55787.312,815.0,53.0
56,179662.56,99356.0,25526.15,11402.43,161.37,53.0
57,122346.56,76426.0,23875.73,16153.01,185.81999,53.0
58,243183.36,34657.0,262143.0,894.41003,4148.35,53.0
59,220833.77,104945.0,44165.17,11618.68,246.13,53.1
60,161470.4,92854.0,41871.19,9670.7,218.42,53.1
61,262143.0,95198.0,78298.07,17838.03,454.77,53.1
62,211678.88,108562.0,51287.582,20927.81,295.03,53.1
63,193964.95,102101.0,31067.34,16962.65,242.87,53.2
64,227884.16,109237.0,30018.96,11478.55,293.4,53.2
65,165266.08,87592.0,30826.871,10189.7,231.46,53.2
66,160380.64,86655.0,19171.86,21628.46,176.04,53.3
67,179782.4,101285.0,27697.3,6715.86,220.05,53.4
68,133820.95,85121.0,26074.56,15471.391,277.1,53.4
69,190013.6,88989.0,34785.11,9198.41,236.35,53.4
70,150525.77,74260.0,38710.48,16699.69,303.18,53.5
71,199308.48,106082.0,39127.41,12255.32,332.52,53.5
72,235737.6,108946.0,42243.14,22811.78,340.67,53.5
73,229381.6,109853.0,53635.19,19593.98,311.33,53.6
74,196019.05,99103.0,33918.38,15225.73,301.55,53.6
75,200898.88,102957.0,29669.5,13442.101,334.15,53.6
76,199252.48,91157.0,65999.5,29581.27,500.41,53.7
77,200776.8,96589.0,44999.03,16076.891,299.92,53.7
78,146936.16,84013.0,26576.26,13068.42,202.12,53.7
79,198037.28,103481.0,25802.951,12648.03,84.76,53.7
80,262143.0,97626.0,71407.484,20744.43,458.03,53.8
81,187073.6,108342.0,33290.39,17280.97,265.69,53.8
82,132024.48,71613.0,37655.18,28565.76,286.88,53.8
83,225936.48,101485.0,28404.871,17748.07,281.99,53.8
84,201622.4,108659.0,31074.26,20308.47,226.56999,53.8
85,6657.28,6335.0,1124.5,275.07,-4.89,53.8
86,61316.64,33533.0,61958.22,237.01001,290.13998,53.8
87,184500.95,103642.0,38508.07,15334.72,228.2,53.8
88,233675.69,88507.0,65848.99,33321.53,410.76,53.8
89,119340.484,69838.0,29408.27,11331.5,223.31,53.9
90,167005.44,96761.0,20599.11,23657.75,255.91,53.9
91,10398.08,7628.0,1795.74,64.01,53.79,53.9
92,170103.36,95309.0,25486.36,10905.92,132.03,53.9
93,162075.2,94424.0,27716.33,20023.02,193.97,53.9
94,205309.44,94180.0,37390.492,18317.24,185.81999,53.9
95,170741.77,92769.0,21569.64,12532.12,164.63,53.9
96,154407.69,88720.0,36603.34,11044.32,285.25,53.9
97,183421.28,98420.0,34980.6,7086.08,260.8,54.0
98,156324.0,90517.0,38532.29,8520.25,205.38,54.0
99,156356.48,91416.0,18972.91,9321.24,210.27,54.0
100,108413.76,72880.0,16149.55,27140.24,156.48,54.1
101,101861.76,56022.0,33421.87,228.36,218.42,54.1
102,182808.64,97392.0,30309.6,16730.83,195.6,54.1
103,61320.0,30236.0,22972.67,287.18,197.23,54.1
104,176098.72,97144.0,29709.291,13976.67,317.85,54.1
105,173182.23,99773.0,32581.09,12807.19,143.44,54.1
106,181662.88,94900.0,50081.77,22342.951,356.97,54.2
107,145666.08,74552.0,96177.62,24619.63,539.52997,54.2
108,212997.12,85866.0,44230.91,19114.77,265.69,54.2
109,171681.44,83159.0,33740.19,26245.83,242.87,54.2
110,183298.08,96839.0,49588.72,14935.09,179.3,54.2
111,211225.28,108922.0,31979.05,12180.93,237.98,54.2
112,140850.08,81215.0,43035.48,15473.12,386.31,54.3
113,262143.0,100609.0,101199.81,40373.01,735.13,54.3
114,212196.33,98849.0,36482.242,15063.11,153.22,54.3
115,194731.05,67068.0,55392.87,26685.25,405.87,54.3
116,245435.69,112878.0,56446.44,26474.19,280.36,54.3
117,155160.33,86121.0,42381.54,15424.68,273.84,54.3
118,258559.84,111296.0,53311.68,27787.26,355.34,54.3
119,198447.2,99665.0,28309.72,19983.23,202.12,54.3
120,262143.0,96281.0,73767.2,30524.121,611.25,54.4
121,169183.84,95308.0,29041.51,10053.03,193.97,54.4
122,201510.4,91782.0,37459.69,11736.32,246.13,54.4
123,98379.68,67680.0,27662.701,19493.64,161.37,54.5
124,202269.77,103868.0,34575.78,18509.27,322.74,54.5
125,203034.72,104669.0,41841.78,24453.55,159.74,54.5
126,219120.16,105939.0,57884.07,21623.27,280.36,54.5
127,131971.84,75332.0,36374.98,11627.33,299.92,54.5
128,262143.0,101693.0,82245.93,35624.16,588.43,54.5
129,189473.77,101585.0,47538.67,29572.621,376.53,54.5
130,262143.0,94177.0,66355.88,29287.17,365.12,54.5
131,10570.56,10834.0,204.14,394.44,-68.46,54.5
132,198541.28,101437.0,58320.03,29465.36,356.97,54.5
133,190135.69,88857.0,36129.32,14281.15,172.78,54.5
134,125442.24,68084.0,54687.03,26481.11,371.63998,54.6
135,235640.16,83926.0,33664.07,41526.92,335.78,54.6
136,262143.0,104865.0,122307.54,59724.79,976.37,54.6
137,262143.0,107801.0,90261.02,56550.242,684.6,54.7
138,177403.52,96525.0,29032.86,13225.851,96.17,54.7
139,172593.12,91676.0,48540.34,13194.71,213.53,54.7
140,239615.05,109297.0,56423.95,13551.09,368.38,54.7
141,160912.64,99487.0,21138.871,14473.18,136.92,54.7
142,262143.0,99485.0,111726.86,54635.13,1152.41,54.7
143,106805.44,64913.0,35440.78,20009.18,298.29,54.7
144,262143.0,112577.0,108232.26,49844.76,577.02,54.7
145,133451.36,86652.0,18950.42,17801.701,128.77,54.7
146,156983.69,92297.0,32911.52,11900.67,171.15,54.7
147,193434.08,99564.0,27235.39,17211.77,244.5,54.7
148,208552.95,97393.0,31340.68,10392.11,102.69,54.8
149,107957.92,59931.0,31103.67,12850.44,298.29,54.8
150,262143.0,127298.0,262143.0,162171.94,3108.41,54.8
151,262143.0,114258.0,262143.0,117152.14,2045.65,54.8
152,164138.23,88140.0,33553.35,6304.12,345.56,54.8
153,140450.23,85189.0,30444.541,4672.73,123.88,54.8
154,91564.48,58859.0,14774.2,10997.61,76.61,54.9
155,165324.33,79412.0,37892.19,27076.23,316.22,54.9
156,5839.68,5898.0,7831.71,5.19,58.68,55.0
157,262143.0,113154.0,262143.0,140920.61,2735.14,55.0
158,262143.0,111345.0,108064.45,48694.31,873.68,55.1
159,262143.0,20118.0,262143.0,430.77002,1747.36,55.1
160,24418.24,7229.0,33278.28,195.49,267.32,55.1
161,259906.08,110506.0,31238.61,19206.46,174.41,55.1
162,132669.6,80660.0,28134.99,11298.63,234.72,55.2
