,FSC-A,FSC-H,SSC-A,PE-A,APC-A,Time
0,31412.64,19458.0,6018.67,34.6,76.61,60.5
1,114770.88,73713.0,18749.74,18607.88,198.86,60.5
2,11297.44,9493.0,693.73,-6.92,-9.78,60.5
3,224799.69,95997.0,44644.38,34932.16,850.86,60.6
4,148361.92,89496.0,33283.47,7215.83,303.18,60.7
5,154105.28,79480.0,27458.56,16414.24,306.44,60.7
6,70659.68,36797.0,40317.652,117.64,301.55,60.8
7,177604.0,96070.0,31060.42,7810.95,267.32,60.8
8,201089.28,86562.0,69437.01,12821.03,808.48,60.8
9,158157.44,88825.0,22353.33,4747.12,260.8,60.9
10,126836.64,84825.0,20815.36,8432.0205,221.68,60.9
11,100959.04,63089.0,33878.59,27394.55,469.44,60.9
12,193205.6,104348.0,15512.91,19915.76,211.9,60.9
13,145096.0,92469.0,16495.55,12935.21,272.21,61.0
14,122855.04,73688.0,42205.082,15303.58,431.95,61.0
15,132184.64,71231.0,19632.041,15422.95,228.2,61.1
16,195862.23,87449.0,29205.86,18824.13,195.6,61.1
17,115587.36,62951.0,48440.0,4958.18,537.9,61.2
18,134485.12,72487.0,39302.14,10476.88,493.88998,61.2
19,121355.36,72760.0,28716.27,18033.52,358.6,61.3
20,69000.96,46575.0,26076.291,18130.4,275.47,61.3
21,109388.164,62236.0,32286.99,10464.7705,350.45,61.3
22,150421.6,86963.0,32292.18,6631.09,342.3,61.3
23,159464.48,84933.0,22206.28,13656.62,474.33,61.5
24,207708.48,103214.0,48516.12,16834.63,446.62,61.5
25,133836.64,72898.0,18585.39,17068.18,285.25,61.5
26,158147.36,95792.0,29645.281,16000.7705,319.48,61.5
27,177480.8,91982.0,29953.22,14525.08,404.24,61.6
28,199605.28,101533.0,26726.77,12966.351,321.11,61.7
29,148046.08,94580.0,31821.621,12500.98,182.56,61.8
30,148545.6,91781.0,22327.38,9196.68,184.19,61.8
31,76324.64,46228.0,26994.92,117.64,179.3,61.8
32,132023.36,66193.0,25124.791,20635.44,356.97,61.9
33,192352.16,87139.0,59531.03,22211.47,669.93,61.9
34,208335.69,101892.0,42476.69,12120.38,492.26,61.9
35,147922.88,81708.0,26622.97,14300.18,373.27,62.0
36,187362.56,87444.0,38726.05,22467.51,428.69,62.0
37,30018.24,16509.0,2245.54,25.95,39.12,62.1
38,182638.4,98024.0,27107.371,11146.39,281.99,62.1
39,151763.36,76764.0,28216.3,18915.82,635.7,62.1
40,133708.95,64468.0,33972.01,30439.35,523.23,62.1
41,171435.05,82831.0,27320.16,16365.8,453.13998,62.2
42,187305.44,103645.0,27764.77,5994.45,161.37,62.2
43,60353.44,35300.0,8904.311,-12.110001,88.02,62.2
44,261975.84,106008.0,71030.34,22201.09,671.56,62.3
45,101267.04,61447.0,33070.68,14570.061,475.96,62.3
46,102544.96,70147.0,22507.3,3361.3901,247.76,62.3
47,126349.44,76160.0,15173.83,23566.06,314.59,62.4
48,180490.23,104737.0,42085.71,18703.03,360.23,62.4
49,137977.28,68647.0,31610.56,14609.851,441.73,62.5
50,166080.33,92783.0,24287.47,14256.93,295.03,62.5
51,78495.2,56965.0,20824.01,15960.98,298.29,62.5
52,152558.56,92588.0,26119.541,12767.4,190.71,62.6
53,236474.56,115546.0,49439.94,26868.63,516.71,62.6
54,188835.36,101084.0,31129.621,8978.7,480.85,62.6
55,161337.12,95674.0,16604.541,10001.13,229.83,62.7
56,143174.08,80340.0,32285.26,23699.27,534.64,62.8
57,186627.84,101357.0,31897.74,18396.82,288.51,62.8
58,67829.44,43412.0,15002.561,164.35,136.92,62.8
59,134481.77,75096.0,33762.68,29634.9,396.09,62.9
60,124522.72,71389.0,24853.18,11061.62,283.62,62.9
61,180458.88,93757.0,23529.73,11021.83,275.47,62.9
62,155984.64,83216.0,42182.59,19433.09,552.57,62.9
63,180381.6,99744.0,29432.49,14173.891,267.32,63.0
64,213057.6,101909.0,48675.28,9852.351,342.3,63.0
65,215454.4,107572.0,38724.32,14203.3,417.28,63.0
66,153773.77,94137.0,21341.28,12504.44,216.79,63.1
67,164850.56,94149.0,35072.29,11855.69,348.82,63.1
68,177658.88,95201.0,36947.61,13405.7705,329.26,63.1
69,169149.12,93681.0,29499.96,20645.82,399.35,63.1
70,115002.72,80427.0,18751.47,15113.28,198.86,63.2
71,159910.23,96410.0,31240.34,15542.32,273.84,63.2
72,88532.64,55518.0,24297.85,16620.11,257.54,63.2
73,166256.16,91870.0,38905.97,11328.04,298.29,63.2
74,72586.08,46507.0,34826.63,190.3,285.25,63.3
75,151101.44,73930.0,38518.45,25676.66,586.8,63.3
76,181567.69,96033.0,21990.03,15474.851,317.85,63.3
77,6840.96,5593.0,2430.6501,1108.93,52.16,63.4
78,155496.33,96981.0,18476.4,12656.68,229.83,63.4
79,162249.92,95633.0,28045.031,12424.86,262.43,63.4
80,140123.2,80365.0,32290.451,5416.63,342.3,63.4
81,185502.23,103198.0,14999.101,12627.2705,197.23,63.4
82,183042.72,95103.0,29627.98,6326.61,335.78,63.5
83,117272.96,75737.0,18064.66,12722.42,187.45,63.5
84,173214.72,87901.0,27712.871,14651.37,247.76,63.5
85,133325.92,82881.0,21358.58,14720.57,384.68,63.5
86,212543.52,102729.0,54510.57,33018.78,580.27997,63.5
87,168851.2,93792.0,30294.031,18945.23,479.22,63.6
88,189507.36,100265.0,38233.0,15950.601,371.63998,63.6
89,260104.33,113834.0,51100.742,16691.041,604.73,63.6
90,116286.24,72158.0,28868.51,15225.73,308.07,63.6
91,125538.56,72929.0,37151.75,34106.95,625.92,63.7
92,148022.56,86880.0,27252.69,13904.01,293.4,63.7
93,159705.28,96060.0,27340.92,7449.38,180.93,63.8
94,82173.28,44292.0,48362.152,643.56,479.22,63.8
95,163561.44,80284.0,44836.41,21081.78,868.79,63.8
96,186929.12,101388.0,35567.07,26398.07,322.74,63.8
97,202378.4,97367.0,35124.19,17317.3,404.24,63.8
98,204876.0,107987.0,28844.291,15917.73,314.59,63.8
99,127361.92,77248.0,26311.57,7868.04,288.51,64.0
100,156731.69,89429.0,27441.26,7712.34,373.27,64.0
101,197907.36,88545.0,46543.92,20822.28,598.21,64.0
102,164065.44,91335.0,20939.92,13980.13,330.88998,64.0
103,168663.05,98053.0,36605.07,39739.832,428.69,64.0
104,78945.44,54335.0,42750.03,11682.69,479.22,64.0
105,152872.16,82353.0,49898.39,31039.66,612.88,64.1
106,174109.6,80632.0,35892.31,13435.18,472.7,64.1
107,240826.88,99801.0,61409.812,17831.11,650.37,64.2
108,202688.64,99783.0,54598.8,8393.96,464.55,64.2
109,184255.69,98854.0,36731.36,10092.82,326.0,64.2
110,212129.12,110945.0,29064.0,20311.93,330.88998,64.2
111,209525.12,92056.0,50471.02,13168.76,365.12,64.3
112,202706.56,95566.0,36373.25,7703.69,360.23,64.3
113,35069.44,25366.0,6459.8203,13.84,60.31,64.3
114,153614.72,93104.0,22216.66,5292.07,184.19,64.3
115,218538.88,95996.0,51640.5,9056.55,422.17,64.4
116,188793.92,98720.0,21064.48,15831.23,374.9,64.4
117,131483.52,74965.0,38727.78,15864.101,360.23,64.4
118,4858.56,5133.0,494.78,723.14,-13.04,64.5
119,222957.28,77421.0,135962.44,38516.72,1282.8099,64.5
120,262143.0,75700.0,56873.75,25420.621,907.91,64.5
121,92132.32,59885.0,28157.48,12457.73,317.85,64.6
122,262143.0,113243.0,72694.6,46832.832,1002.45,64.6
123,189172.48,97452.0,25463.871,12144.601,405.87,64.6
124,181410.88,92793.0,34167.5,20905.32,546.05,64.7
125,200677.12,93253.0,31517.14,12613.43,462.92,64.7
126,125536.32,83948.0,21768.59,5785.12,224.94,64.7
127,262143.0,102873.0,96817.72,27531.22,1008.97,64.7
128,226095.52,102981.0,30614.08,19279.121,356.97,64.8
129,161022.4,81150.0,30761.13,13731.01,283.62,64.8
130,157596.33,93741.0,24939.68,4631.21,200.49,64.8
131,174453.44,94699.0,33172.75,10148.18,363.49,64.8
132,138524.95,71715.0,60527.51,10698.32,484.11,64.8
133,161240.8,92976.0,24327.26,13206.82,251.02,64.9
134,5227.04,5479.0,352.92,150.51,22.82,64.9
135,176340.64,88617.0,47282.63,18384.71,436.84,64.9
136,148643.05,84192.0,21408.75,19647.61,376.53,64.9
137,225104.33,111580.0,53308.22,14819.18,451.51,64.9
138,174885.77,87653.0,46519.7,28299.34,348.82,64.9
139,163935.52,89468.0,40898.93,14528.54,404.24,65.0
140,157526.88,85805.0,38663.77,14049.33,533.01,65.0
141,244556.48,113741.0,72121.97,16287.95,596.58,65.0
142,145817.28,88464.0,18343.19,8063.5303,211.9,65.0
143,116875.36,60353.0,31255.91,19493.64,379.79,65.1
144,175153.44,100828.0,26811.541,6217.62,125.51,65.1
145,34398.56,9257.0,136029.9,176.46,634.07,65.1
146,262143.0,114017.0,37717.46,8610.21,428.69,65.1
147,153582.23,74572.0,33382.082,23918.98,415.65,65.1
148,114770.88,65623.0,32887.3,19173.59,431.95,65.2
149,205280.33,101072.0,42833.07,22336.03,448.25,65.2
150,185689.28,94156.0,33868.21,11405.89,283.62,65.2
151,155836.8,87712.0,18415.85,11629.061,255.91,65.2
152,127145.76,80684.0,18147.701,7554.91,211.9,65.3
153,203757.12,97693.0,59972.18,14649.641,422.17,65.3
154,103455.52,66387.0,42604.71,4728.09,444.99,65.3
155,262143.0,104694.0,82816.83,28726.65,885.09,65.3
156,165399.36,94635.0,40269.21,11438.76,433.58,65.4
157,249117.12,74857.0,53863.55,26434.4,549.31,65.4
158,241700.48,79592.0,40741.5,21742.64,475.96,65.4
159,204798.72,105632.0,22021.17,31288.781,303.18,65.4
160,161304.64,85160.0,19787.74,20965.871,332.52,65.5
161,138184.48,74741.0,39655.06,8833.38,370.01,65.5
162,127453.76,75516.0,31766.26,14518.16,581.91,65.5
163,187132.95,99340.0,24047.0,9106.72,337.41,65.5
164,260460.48,113128.0,42232.76,30207.531,581.91,65.5
165,138309.92,85384.0,20984.9,13583.96,213.53,65.5
166,132170.08,72747.0,28498.291,25344.5,374.9,65.5
167,262143.0,99513.0,71919.56,34869.88,666.67,65.6
168,126510.72,71142.0,49855.14,23389.6,643.85,65.6
169,180468.95,99149.0,19185.701,6125.93,355.34,65.6
170,191580.48,89103.0,27697.3,18600.96,391.2,65.6
171,177690.23,91749.0,20521.26,15800.09,332.52,65.7
172,152852.0,79688.0,35039.42,12039.07,187.45,65.7
173,171819.2,94994.0,31408.15,10959.55,265.69,65.7
174,155463.84,83138.0,29171.26,13173.95,272.21,65.7
175,200473.28,92711.0,33302.5,19074.98,518.34,65.7
176,167688.64,99765.0,15999.04,14398.79,301.55,65.7
177,204360.8,101601.0,33382.082,14113.34,304.81,65.8
178,175678.72,83360.0,32934.01,12476.76,475.96,65.8
179,110139.68,62576.0,19926.14,12753.561,303.18,65.8
180,220383.52,100312.0,41059.82,19206.46,687.86,65.8
181,192363.36,88337.0,30434.16,35080.94,603.1,65.8
182,249368.0,108101.0,46684.05,27927.39,484.11,65.9
183,192838.23,93981.0,54827.16,21438.16,550.94,65.9
184,140228.48,90993.0,24922.38,10582.41,278.73,65.9
185,158431.84,70334.0,79758.19,26046.88,955.18,65.9
186,94556.0,52557.0,30167.74,14573.5205,347.19,65.9
187,88543.84,54900.0,31953.1,19133.8,285.25,65.9
188,103253.92,35773.0,223950.23,839.05,1220.87,65.9
189,97179.04,61041.0,33044.73,16934.97,402.61,66.0
190,142433.77,65596.0,50429.5,24986.39,451.51,66.0
191,147762.72,64219.0,46537.0,29065.73,513.45,66.0
192,218954.4,106533.0,34397.59,12471.57,392.83,66.0
193,79785.44,51732.0,25962.11,8930.26,267.32,66.1
194,262143.0,107204.0,70907.51,30254.24,947.02997,66.1
195,201448.8,105427.0,34286.87,12743.18,414.02,66.2
196,205522.23,101361.0,27615.99,11309.01,402.61,66.2
197,140520.8,81305.0,25851.39,5696.89,262.43,66.2
198,163859.36,85604.0,48433.082,25462.14,528.12,66.2
199,157268.16,95159.0,26150.68,12385.07,373.27,66.2
200,97249.6,56689.0,54254.53,307.94,425.43,66.2
201,153774.88,92089.0,21951.97,5350.89,260.8,66.2
202,156055.2,89697.0,27892.791,13990.51,234.72,66.3
203,207074.56,101226.0,40347.06,13751.7705,506.93,66.3
204,262143.0,103816.0,54754.5,44571.72,699.27,66.3
205,106934.24,60756.0,19090.55,18384.71,272.21,66.4
206,176244.33,95140.0,70734.51,14886.65,736.76,66.4
207,262143.0,97041.0,80808.305,38918.082,854.12,66.4
208,163181.77,97420.0,21868.93,10142.99,259.17,66.5
209,217145.6,104766.0,95039.28,21047.18,632.44,66.5
210,259462.56,105564.0,49351.71,41004.46,593.32,66.5
211,187280.8,102270.0,19228.951,19346.59,251.02,66.5
212,112109.76,54317.0,37546.19,18225.55,453.13998,66.5
213,26321.12,22268.0,17339.791,12.110001,48.9,66.5
214,72190.72,18344.0,30947.97,695.46,378.16,66.6
215,162602.72,84996.0,22240.88,11769.19,361.86,66.6
216,166770.23,94205.0,31233.42,17543.93,373.27,66.6
217,151344.48,75077.0,38817.742,18564.63,363.49,66.6
218,207648.0,100029.0,37900.84,20483.201,542.79,66.6
219,85378.72,55941.0,25249.35,10655.07,366.75,66.7
220,149900.8,67124.0,37880.082,23806.53,521.6,66.7
221,200116.0,99700.0,42796.742,21625.0,387.94,66.7
222,132106.23,75958.0,25034.83,12229.37,208.64,66.7
223,100317.28,61104.0,54014.062,280.26,402.61,66.8
224,171595.2,88542.0,71865.93,13974.94,795.44,66.8
225,145219.2,94348.0,26702.55,6594.7603,360.23,66.8
226,241923.36,96407.0,77647.59,30121.031,770.99,66.9
227,79093.28,55790.0,25877.34,15094.25,339.04,66.9
228,60353.44,38719.0,21671.71,141.86,339.04,67.0
229,144296.33,87441.0,32427.121,16293.141,438.47,67.0
230,238199.36,78048.0,44775.86,22246.07,471.07,67.0
231,166087.05,95019.0,22057.5,11056.43,306.44,67.0
232,262143.0,95035.0,72334.76,35383.69,912.8,67.1
233,165174.23,81362.0,41006.19,20651.01,451.51,67.1
234,198135.84,96817.0,60131.34,16505.93,606.36,67.2
235,201163.2,89033.0,23927.63,8096.4,366.75,67.2
236,173602.23,92249.0,40201.742,17187.55,383.05,67.2
237,14380.8,7665.0,20455.52,27.68,88.02,67.2
238,142128.0,80767.0,31923.69,17722.121,327.63,67.2
239,152555.2,94900.0,13796.75,11303.82,76.61,67.2
240,146193.6,77938.0,25309.9,19291.23,601.47,67.2
241,184427.05,97738.0,35264.32,11156.7705,343.93,67.3
242,174640.48,101445.0,55531.27,30864.93,697.64,67.4
243,183800.95,95840.0,19237.6,3930.56,365.12,67.4
244,173452.16,102956.0,35734.88,13500.92,480.85,67.4
245,138561.92,76228.0,29029.4,14147.94,324.37,67.4
246,248703.84,102496.0,40760.53,8776.29,480.85,67.4
247,150993.92,72013.0,38672.42,24977.74,547.68,67.4
248,188185.77,104592.0,33444.36,12907.53,519.97,67.6
249,163231.05,90537.0,32342.35,15834.69,348.82,67.6
250,172953.77,90955.0,35418.29,17502.41,471.07,67.6
251,151781.28,83604.0,16005.96,19697.78,306.44,67.6
252,169358.56,91957.0,33184.86,14220.601,317.85,67.7
253,153893.6,88626.0,30306.14,20945.11,353.71,67.7
254,9960.16,8537.0,4049.93,136.67,244.5,67.7
255,257191.2,85780.0,78090.47,39063.402,1026.9,67.7
256,59703.84,30941.0,23988.18,197.22,236.35,67.8
257,186407.2,106908.0,36878.41,17429.75,383.05,67.8
258,201925.92,88524.0,57690.312,20758.27,686.23,67.8
259,109949.28,68452.0,23303.1,17242.91,303.18,67.9
260,198418.08,103372.0,40369.55,15815.66,293.4,67.9
261,173589.92,82227.0,39777.89,19671.83,493.88998,67.9
