,FSC-A,FSC-H,SSC-A,PE-A,APC-A,Time
0,130356.8,68440.0,21784.16,16947.08,122.25,50.5
1,157187.52,80800.0,31202.281,15194.59,60.31,50.5
2,133277.77,83128.0,19189.16,10549.54,145.06999,50.5
3,188530.72,98085.0,21580.02,21104.27,164.63,50.5
4,164309.6,91170.0,28235.33,14230.98,143.44,50.6
5,210977.77,107817.0,33875.13,16457.49,169.52,50.8
6,217321.44,103653.0,42165.29,25569.4,324.37,50.9
7,18850.72,8392.0,5871.62,-6.92,13.04,50.9
8,108333.12,71332.0,32261.041,9447.53,174.41,50.9
9,189384.16,98115.0,42009.59,5610.39,275.47,50.9
10,176648.64,101089.0,23640.451,13194.71,109.21,51.0
11,80324.164,59488.0,19422.71,5106.96,128.77,51.1
12,156929.92,90025.0,30832.06,10421.5205,120.62,51.1
13,107998.24,70049.0,21341.28,18341.46,117.36,51.1
14,239491.84,111436.0,36553.17,23713.11,244.5,51.2
15,89205.76,59453.0,33214.27,15836.42,101.06,51.2
16,173884.48,92124.0,46431.47,17059.53,265.69,51.3
17,181110.72,91926.0,39809.03,12459.46,184.19,51.3
18,197929.77,102263.0,31394.31,13378.09,172.78,51.4
19,182204.95,99996.0,23377.49,15051.0,283.62,51.4
20,131172.16,82772.0,29005.18,9579.01,177.67,51.6
21,151604.33,87416.0,31299.16,21647.49,174.41,51.6
22,156691.36,92758.0,14141.0205,8323.03,211.9,51.7
23,110455.52,64185.0,41291.64,8819.54,352.08,51.8
24,155955.52,88121.0,25484.63,10582.41,241.24,51.8
25,152709.77,83709.0,39044.37,17850.14,247.76,51.8
26,121278.08,71605.0,20756.541,20145.85,153.22,51.8
27,105498.4,66823.0,38354.1,16883.07,215.16,51.9
28,262143.0,105769.0,59396.09,23477.83,365.12,51.9
29,178788.95,89873.0,56314.96,42717.16,376.53,51.9
30,208950.56,104016.0,38677.61,15919.46,202.12,51.9
31,170489.77,90784.0,20945.11,22188.98,99.43,52.0
32,171491.05,90417.0,39769.242,5113.88,205.38,52.0
33,262143.0,75049.0,100834.78,40288.242,629.18,52.0
34,183011.36,97916.0,36068.77,19028.27,159.74,52.1
35,157067.69,89284.0,28148.83,19862.13,149.96,52.1
36,212658.88,89372.0,91622.53,38599.76,658.52,52.1
37,29803.2,15005.0,2768.0,20.76,105.95,52.1
38,178181.92,96597.0,20557.59,14957.58,78.24,52.3
39,164371.2,91216.0,33958.17,13692.95,17.93,52.3
40,108561.6,74316.0,27833.97,10279.66,99.43,52.3
41,174547.52,88704.0,40729.39,23007.27,215.16,52.3
42,183580.33,103233.0,26123.0,9151.7,140.18,52.4
43,84966.56,51324.0,26738.88,11056.43,163.0,52.5
44,193790.23,105896.0,24818.58,11141.2,102.69,52.5
45,206819.2,97075.0,43576.97,38881.75,319.48,52.6
46,262143.0,112005.0,38803.902,14405.71,154.85,52.7
47,194564.16,98541.0,41466.37,18296.48,161.37,52.7
48,186699.52,93540.0,30759.4,13687.76,200.49,52.7
49,180138.56,102695.0,23522.81,4591.42,96.17,52.7
50,117616.8,71192.0,27384.17,7949.35,187.45,52.8
51,124255.04,71051.0,39438.81,8734.7705,255.91,52.8
52,162674.4,84531.0,23688.89,15763.76,193.97,52.8
53,164652.33,93339.0,21976.19,20000.53,210.27,52.9
54,197935.36,89267.0,52327.312,18850.08,326.0,52.9
55,147757.12,85564.0,26835.76,13099.561,84.76,53.1
56,162864.8,88516.0,39642.95,10867.86,154.85,53.1
57,152712.0,84540.0,29688.531,9817.75,163.0,53.1
58,161359.52,94808.0,27963.72,7888.8003,66.83,53.1
59,83863.36,50748.0,45613.18,211.06,249.39,53.2
60,157170.72,90382.0,22059.23,8305.73,174.41,53.2
61,177188.48,86350.0,49085.29,17137.38,133.66,53.2
62,229099.36,95238.0,91017.03,35845.6,433.58,53.3
63,224296.8,106913.0,37570.41,9701.84,172.78,53.3
64,152862.08,82577.0,21654.41,28512.13,138.55,53.4
65,184813.44,90988.0,38738.16,12720.69,278.73,53.6
66,173418.56,95384.0,32345.81,13796.75,185.81999,53.6
67,175079.52,100952.0,23616.23,7141.44,166.26,53.6
68,164231.2,87377.0,54872.14,18988.48,291.77,53.7
69,207801.44,96741.0,28548.46,25349.69,265.69,53.7
70,175621.6,95643.0,15040.62,13649.7,78.24,53.8
71,155233.12,87484.0,25507.121,14589.09,141.81,53.9
72,191483.05,91461.0,31742.041,26282.16,193.97,54.0
73,145344.64,84085.0,30975.65,16172.04,138.55,54.0
74,151820.48,85089.0,22166.49,12845.25,148.33,54.0
75,168769.44,94216.0,34427.0,16569.94,159.74,54.1
76,207476.64,105389.0,33809.39,15163.45,135.29,54.2
77,191705.92,93504.0,24668.07,12897.15,247.76,54.2
78,164780.0,84736.0,54546.902,8996.0,236.35,54.2
79,169351.84,95273.0,26837.49,8589.45,39.12,54.2
80,130532.64,75733.0,16436.73,12639.38,107.58,54.2
81,202114.08,94085.0,41717.22,16476.52,156.48,54.3
82,207967.2,101472.0,46924.52,17891.66,182.56,54.3
83,225929.77,108371.0,36930.31,17699.63,291.77,54.3
84,194052.33,93166.0,46710.0,16609.73,272.21,54.4
85,153450.08,87609.0,19549.0,15338.18,76.61,54.4
86,145050.08,80929.0,38115.36,21872.39,60.31,54.5
87,167005.44,89971.0,34238.43,17222.15,211.9,54.5
88,221187.69,105236.0,52816.902,23263.31,215.16,54.5
89,179748.8,103732.0,33873.4,14436.851,228.2,54.5
90,213764.33,98193.0,73403.9,19054.22,215.16,54.6
91,122961.44,77481.0,13225.851,14990.45,70.09,54.6
92,118483.68,74725.0,27889.33,11378.21,203.75,54.6
93,183619.52,100745.0,37020.27,15570.0,262.43,54.7
94,27844.32,18615.0,14846.86,57.09,104.32,54.7
95,164062.08,98986.0,16329.47,10854.0205,195.6,54.7
96,166619.05,99541.0,30802.65,21920.83,383.05,54.7
97,80736.32,50625.0,34911.4,18327.621,249.39,54.8
98,143155.05,82297.0,32826.75,18533.49,143.44,54.8
99,227756.48,108204.0,46884.73,17374.39,233.09,54.8
100,187775.84,99860.0,31276.67,8060.0703,76.61,54.8
101,162436.95,89240.0,38068.652,11367.83,342.3,54.9
102,115200.96,47605.0,19192.621,7188.15,237.98,54.9
103,243514.88,107541.0,76600.94,22311.81,379.79,54.9
104,170112.33,95256.0,23178.541,11061.62,141.81,54.9
105,96901.28,60143.0,24993.31,22483.08,255.91,55.0
106,174382.88,95933.0,22287.59,13097.83,107.58,55.0
107,203983.36,104089.0,33965.09,25659.36,167.89,55.0
108,109755.52,68088.0,30169.47,17601.02,138.55,55.0
109,93754.08,53151.0,25418.89,309.67,208.64,55.1
110,62052.48,20703.0,100490.51,525.92,475.96,55.1
111,217061.6,105698.0,28830.451,26631.621,190.71,55.1
112,160128.64,82210.0,34352.61,21235.75,270.58,55.1
113,187367.05,100405.0,32041.33,16227.4,334.15,55.1
114,164035.2,81157.0,57119.41,28825.26,244.5,55.1
115,196887.05,101584.0,48052.48,14277.69,193.97,55.2
116,195376.16,101409.0,35638.0,11044.32,195.6,55.2
117,186801.44,97924.0,31235.15,21555.8,184.19,55.2
118,160731.2,91205.0,36727.902,11686.15,213.53,55.2
119,162619.52,82872.0,42710.242,13864.22,251.02,55.2
120,177693.6,103200.0,29764.65,12866.01,176.04,55.2
121,177404.64,96876.0,20721.94,12414.48,187.45,55.3
122,198250.08,102580.0,37279.77,10876.51,176.04,55.3
123,146336.95,83533.0,22289.32,24353.21,81.5,55.3
124,152923.69,80549.0,41193.03,30193.69,226.56999,55.3
125,175175.84,99909.0,37193.27,19370.81,237.98,55.3
126,70057.12,57960.0,8874.9,5100.04,-1.63,55.3
127,106391.04,53234.0,43403.97,257.77,198.86,55.3
128,158412.8,81897.0,41653.21,17962.59,244.5,55.4
129,44880.64,21298.0,35973.62,237.01001,301.55,55.4
130,168816.48,92994.0,34070.62,16492.09,148.33,55.4
131,248781.12,80868.0,73101.15,15993.851,350.45,55.4
132,209940.64,105374.0,36553.17,16054.4,192.34,55.4
133,195031.2,98565.0,32387.33,31385.66,229.83,55.4
134,174510.56,99158.0,26046.88,14241.36,92.909996,55.4
135,71209.6,48554.0,31389.121,192.03,223.31,55.5
136,183591.52,94802.0,29615.871,14120.26,210.27,55.5
137,165205.6,79433.0,36421.69,18756.66,273.84,55.5
138,121954.56,71132.0,28583.06,14341.7,203.75,55.5
139,262143.0,103656.0,71104.734,29975.71,399.35,55.5
140,199090.08,103593.0,25763.16,22943.26,252.65,55.5
141,161973.28,94951.0,26276.97,8404.34,172.78,55.6
142,160448.95,85240.0,29366.75,16784.46,216.79,55.6
143,203842.23,105780.0,32164.16,16682.39,180.93,55.6
144,137497.92,73749.0,47253.22,23107.61,229.83,55.6
145,262143.0,100575.0,54311.62,12724.15,407.5,55.6
146,140029.12,84829.0,22597.26,12942.13,148.33,55.6
147,195067.05,102517.0,26661.031,18094.07,133.66,55.6
148,11176.48,10963.0,826.94,1233.49,4.89,55.7
149,200493.44,101981.0,37158.67,14474.91,190.71,55.7
150,122024.0,80001.0,21919.1,13319.2705,55.42,55.7
151,189734.72,100421.0,37028.92,12928.29,223.31,55.7
152,148852.48,87097.0,41762.2,14303.641,233.09,55.7
153,180406.23,98173.0,25847.93,9303.94,132.03,55.7
154,210756.0,106241.0,32115.72,13791.561,130.4,55.8
155,183864.8,90481.0,30890.88,13564.93,114.1,55.8
156,183685.6,100450.0,25410.24,17210.041,163.0,55.8
157,169475.05,90404.0,29204.13,20102.6,247.76,55.8
158,195879.05,81977.0,32399.44,25126.52,190.71,55.8
159,160231.69,90507.0,31458.32,4887.25,239.61,55.8
160,123893.28,79154.0,17146.03,14864.16,97.8,55.9
161,159957.28,94385.0,34437.38,12533.851,189.08,55.9
162,134826.72,72476.0,32555.14,16678.93,277.1,55.9
163,177561.44,90973.0,37957.93,25802.951,329.26,55.9
164,183821.12,99020.0,30377.07,12338.36,185.81999,55.9
165,165839.52,87538.0,24854.91,18177.11,184.19,56.0
166,193198.88,99691.0,29134.93,20330.96,185.81999,56.0
167,101948.0,46657.0,38149.96,18981.56,265.69,56.0
168,208118.4,101152.0,33177.94,31975.59,148.33,56.0
169,183084.16,32429.0,262143.0,2793.95,3915.26,56.0
170,210959.84,94565.0,40007.98,6601.68,109.21,56.0
171,18129.44,7114.0,33645.04,148.78,326.0,56.0
172,184786.56,91105.0,50951.96,39073.78,158.11,56.0
173,262143.0,79284.0,47510.992,28614.201,286.88,56.1
174,173900.16,100238.0,29825.201,14166.97,145.06999,56.1
175,188322.4,97299.0,24969.09,14890.11,114.1,56.1
176,201871.05,105151.0,30463.57,24069.49,268.95,56.1
