,FSC-A,FSC-H,SSC-A,PE-A,APC-A,Time
0,203376.33,95901.0,35400.992,20766.92,1082.32,53.9
1,180846.4,84889.0,50142.32,30986.031,1996.75,54.0
2,186039.84,92066.0,48204.72,18751.47,1191.53,54.0
3,185847.2,105090.0,27897.98,9608.42,769.36,54.0
4,206875.2,94087.0,22694.14,15545.78,889.98,54.1
5,262143.0,112176.0,43824.36,15144.42,844.34,54.1
6,163112.33,83537.0,46509.32,25524.42,1299.11,54.1
7,227800.16,100991.0,50863.73,16229.13,1026.9,54.2
8,210268.8,99200.0,35106.89,21535.041,893.24,54.3
9,217314.72,96580.0,47381.242,25401.59,1587.62,54.4
10,191262.4,98515.0,40641.16,15018.13,901.39,54.4
11,177498.72,83613.0,60887.35,34752.242,2084.77,54.4
12,262143.0,110133.0,67741.61,24934.49,1524.05,54.5
13,168198.23,87238.0,27901.44,20739.24,1142.63,54.5
14,98712.32,51374.0,56901.43,231.82,865.52997,54.6
15,191620.8,93221.0,56673.07,15154.8,1530.57,54.6
16,197612.8,101989.0,23285.8,12462.92,1057.87,54.7
17,188135.36,94248.0,25143.82,7072.24,762.84,54.7
18,259509.6,87079.0,41859.082,22631.86,1537.09,54.7
19,186650.23,102467.0,22983.05,9682.811,699.27,54.8
20,221482.23,98702.0,47512.72,27403.201,1522.42,54.8
21,196337.12,94352.0,41061.55,11051.24,819.89,54.8
22,200372.48,99148.0,38369.67,7864.58,748.17,54.9
23,214522.56,108874.0,43236.16,16490.36,1178.49,54.9
24,70258.72,38053.0,35705.47,416.93,780.77,55.0
25,181452.33,98757.0,29435.951,7406.13,891.61,55.0
26,203204.95,104121.0,35847.332,21261.701,1370.83,55.1
27,212474.08,99373.0,39530.5,16597.621,1416.47,55.1
28,186353.44,84843.0,55069.36,27385.9,1214.35,55.1
29,262143.0,112788.0,34907.94,16306.98,1154.04,55.2
30,155204.0,94257.0,18370.871,7323.09,531.38,55.2
31,262143.0,83667.0,90205.664,34075.81,3530.58,55.2
32,262143.0,101280.0,76002.36,28439.47,2718.84,55.3
33,262143.0,94369.0,62293.84,27972.371,1595.77,55.4
34,140669.77,81573.0,27494.89,18893.33,1561.54,55.5
35,262143.0,84971.0,59939.312,47270.52,2163.01,55.5
36,203678.72,107001.0,43319.2,7503.0103,898.13,55.5
37,200596.48,99782.0,45348.492,17293.08,828.04,55.7
