,FSC-A,FSC-H,SSC-A,PE-A,APC-A,Time
0,172435.2,53449.0,28821.8,17402.07,2029.35,51.6
1,188647.2,74609.0,75905.484,38281.44,2808.49,51.6
2,262143.0,103781.0,59883.95,23489.94,2334.16,51.7
3,194277.44,106749.0,35952.86,12118.65,2146.71,51.7
4,242653.6,97613.0,57295.87,23207.951,2296.67,51.7
5,180630.23,112664.0,34414.89,16277.57,2143.45,51.7
6,262143.0,113616.0,46628.69,21886.23,1972.3,51.8
7,262143.0,104133.0,46639.07,22685.49,2353.72,51.8
8,253649.77,107525.0,73114.99,21811.84,2815.01,51.8
9,156920.95,92262.0,21192.5,6554.97,1276.29,51.9
10,201578.72,95636.0,25434.46,10705.24,1877.76,51.9
11,220673.6,103447.0,55183.54,18694.38,2304.82,51.9
12,226596.16,93552.0,65743.46,20170.07,2133.67,52.0
13,253820.0,109560.0,36686.38,37798.77,1936.44,52.1
14,180015.36,86341.0,36544.52,10596.25,1242.0599,52.2
15,19738.88,19284.0,1735.1901,1392.65,91.28,52.2
16,202459.05,101889.0,44922.91,13398.851,1607.18,52.2
17,205374.4,89141.0,43974.87,21699.39,2210.28,52.3
18,241721.77,115029.0,53124.84,16391.75,2779.15,52.4
19,75557.44,51341.0,22555.74,11883.37,1354.53,52.4
20,164239.05,93853.0,38835.04,12698.2,1773.44,52.4
21,179682.72,94456.0,41084.04,9355.84,961.7,52.4
22,223101.77,86152.0,39053.02,23617.96,2128.78,52.4
23,211429.12,103268.0,29178.18,10575.49,1457.22,52.5
24,78349.6,19297.0,144043.27,482.67,503.67,52.6
25,262143.0,100569.0,53521.01,33269.63,3364.32,52.6
26,22387.68,21780.0,2188.45,728.33,-1.63,52.6
27,209667.36,100608.0,48953.81,11388.59,2156.49,52.7
28,159834.08,83736.0,33207.35,17703.09,1841.9,52.7
29,157038.56,72244.0,36634.48,21322.25,2167.9,52.8
30,221107.05,97332.0,53131.76,15170.37,2622.67,52.8
31,248226.72,115462.0,33722.89,17293.08,2445.0,52.9
32,172920.16,93500.0,33946.06,9651.67,1077.43,53.0
33,8861.44,9148.0,671.24,503.43,-19.56,53.0
34,121652.164,59840.0,55100.5,1006.86,1995.12,53.0
35,240469.6,106271.0,67764.1,26024.39,2800.34,53.0
36,12943.84,12743.0,1127.96,513.81,6.52,53.1
37,130916.8,79209.0,26263.13,9352.38,844.34,53.1
38,262143.0,102774.0,75144.28,34596.54,3129.6,53.1
39,262143.0,111392.0,39636.03,11511.42,1559.91,53.2
40,262143.0,108444.0,29984.36,16564.75,1602.29,53.3
41,178273.77,99772.0,30840.71,8305.73,1142.63,53.3
42,23778.72,22341.0,3672.79,1351.13,17.93,53.3
43,217698.88,103536.0,46905.492,16365.8,1841.9,53.3
44,132358.23,75317.0,18542.14,7496.09,1295.85,53.3
45,175124.33,95341.0,40606.56,10354.05,1608.8099,53.4
46,181697.6,109376.0,24889.51,13867.68,1520.79,53.4
47,168784.0,99154.0,36143.16,11720.75,1178.49,53.5
48,183459.36,100833.0,29340.8,12665.33,1833.75,53.5
49,237497.12,110456.0,39549.53,26117.81,1664.23,53.5
