,FSC-A,FSC-H,SSC-A,PE-A,APC-A,Time
0,198182.88,99819.0,27498.35,16374.45,404.24,52.4
1,95632.32,50321.0,37466.61,432.5,394.46,52.4
2,233380.0,95589.0,35857.71,12895.42,273.84,52.4
3,156764.16,95501.0,26958.59,7871.5,145.06999,52.4
4,183904.0,95888.0,34452.95,13952.45,373.27,52.4
5,16974.72,14684.0,3030.96,1091.63,8.15,52.5
6,258026.72,106538.0,34714.18,21566.18,435.21,52.5
7,212629.77,100507.0,39151.63,15680.72,431.95,52.5
8,187690.72,102792.0,43153.12,9861.0,397.72,52.5
9,171792.33,79716.0,44336.44,24937.951,502.04,52.6
10,188870.08,84800.0,44106.35,17562.96,425.43,52.6
11,178969.28,101372.0,31399.5,16839.82,355.34,52.7
12,210479.36,103908.0,20543.75,11238.08,273.84,52.7
13,42956.48,39733.0,3254.1301,4281.75,86.39,52.7
14,184148.16,97821.0,35714.12,7075.7,277.1,52.8
15,209922.72,105157.0,28678.21,9518.46,296.66,52.8
16,190476.16,103817.0,42246.6,15940.22,265.69,52.8
17,158215.69,89977.0,24600.6,5999.64,246.13,52.8
18,176509.77,97353.0,34029.1,13175.68,293.4,52.8
19,196560.0,97551.0,27702.49,14938.55,493.88998,52.9
20,174622.56,91849.0,19628.58,23752.9,363.49,52.9
21,262143.0,112131.0,37366.27,20332.69,537.9,53.0
22,175710.08,95544.0,28001.781,8167.33,166.26,53.0
23,186471.05,98970.0,42559.73,14582.17,288.51,53.0
24,254240.0,110021.0,44409.1,12208.61,594.95,53.1
25,207104.8,104164.0,31050.041,17052.61,505.3,53.1
26,208766.88,102862.0,34283.41,9288.37,541.16,53.1
27,65712.64,54756.0,6764.3003,3101.8901,135.29,53.1
28,262143.0,117756.0,41968.07,36157.0,653.63,53.2
29,220898.72,104240.0,32859.62,25747.59,490.63,53.2
30,262143.0,103535.0,61634.71,21516.01,544.42,53.2
31,262143.0,112122.0,50841.242,10620.47,378.16,53.3
32,199052.0,97836.0,31499.84,11423.19,405.87,53.3
33,148868.16,75148.0,32359.65,14665.21,251.02,53.3
34,262143.0,102812.0,31110.59,17751.53,298.29,53.4
35,262143.0,117964.0,32676.24,18467.75,422.17,53.4
36,217468.16,105817.0,70286.44,13457.67,612.88,53.5
37,224940.8,104189.0,41500.97,23808.26,586.8,53.5
38,218385.44,101151.0,54271.832,14151.4,510.19,53.5
39,216618.08,103308.0,29138.39,6933.84,379.79,53.5
40,23905.28,18904.0,4875.14,-13.84,94.54,53.5
41,262143.0,105213.0,100267.34,47343.18,973.11,53.6
42,152265.12,94822.0,16497.28,10277.93,122.25,53.6
43,199998.4,111027.0,41672.242,16594.16,428.69,53.6
44,179980.64,78602.0,49843.03,33248.87,819.89,53.6
45,206049.77,100710.0,26949.94,5065.44,314.59,53.7
46,155784.16,78464.0,88918.54,3537.85,1090.47,53.7
47,235910.08,97689.0,36056.66,52287.52,523.23,53.7
48,232526.56,97191.0,46216.95,24661.15,519.97,53.7
49,195149.92,103529.0,32224.71,19152.83,291.77,53.8
50,247437.12,104310.0,43995.63,28856.4,355.34,53.8
51,207841.77,100732.0,48055.94,13552.82,502.04,53.9
52,192524.64,104032.0,31942.72,8810.89,453.13998,53.9
53,262143.0,101264.0,59371.87,22742.58,634.07,53.9
54,191539.05,103321.0,26398.07,11309.01,363.49,53.9
55,216479.2,107804.0,33468.582,17381.31,265.69,54.0
56,206090.08,106736.0,25097.11,4722.9,326.0,54.0
57,6391.84,5905.0,498.24,756.01,-37.49,54.0
58,189173.6,82498.0,66089.46,29595.11,717.2,54.0
59,50895.04,37999.0,14194.65,212.79001,596.58,54.0
60,226084.33,105257.0,28121.15,10559.92,117.36,54.1
61,253697.92,103797.0,48204.72,21593.86,570.5,54.1
62,197473.92,99021.0,29589.92,10885.16,317.85,54.1
63,233946.72,105413.0,39540.88,10577.22,453.13998,54.1
64,177769.77,94073.0,12464.65,6864.64,99.43,54.1
65,262143.0,113896.0,61866.53,20628.52,630.81,54.2
66,171489.92,102768.0,38265.87,7696.77,299.92,54.2
67,158194.4,93284.0,24372.24,14090.851,272.21,54.2
68,262143.0,108455.0,43955.84,20516.07,383.05,54.3
69,181254.08,100784.0,18312.05,11341.88,182.56,54.3
70,198574.88,96272.0,40878.17,13213.74,358.6,54.3
71,262143.0,115464.0,56951.6,19069.791,431.95,54.3
72,233616.33,107256.0,53425.86,9027.14,414.02,54.3
73,92389.92,50156.0,44294.92,397.9,400.98,54.4
74,262143.0,110006.0,43199.832,29489.58,541.16,54.4
75,212929.92,99805.0,52111.062,13808.86,526.49,54.4
76,169564.64,88649.0,50789.34,14620.23,480.85,54.4
77,167830.88,97113.0,32705.65,10511.48,322.74,54.4
78,25774.56,24967.0,4750.58,619.34,-39.12,54.5
79,213110.23,91292.0,44198.04,23664.67,464.55,54.5
80,200674.88,96157.0,35655.3,13672.19,446.62,54.5
81,252190.4,107557.0,42341.75,17723.85,397.72,54.5
82,262143.0,106522.0,130322.63,26429.21,1299.11,54.6
83,262143.0,114592.0,73248.2,35864.63,656.89,54.6
84,196583.52,102321.0,41341.81,11518.34,296.66,54.7
85,177948.95,88128.0,51697.59,14687.7,404.24,54.7
86,209963.05,103912.0,32885.57,19926.14,329.26,54.7
87,206557.12,104406.0,44737.8,19986.69,352.08,54.7
88,231077.28,92398.0,53533.12,16178.96,464.55,54.7
89,111431.04,51143.0,64916.52,2295.71,596.58,54.7
90,216384.0,95483.0,42997.42,21180.39,612.88,54.8
91,262143.0,114058.0,54808.13,24965.63,423.8,54.8
92,173969.6,97888.0,29851.15,11153.311,221.68,54.8
93,194087.05,102640.0,42184.32,16568.21,340.67,54.9
94,222411.84,95532.0,37046.22,28918.68,418.91,54.9
95,195153.28,105797.0,36544.52,10760.601,286.88,54.9
96,174623.69,92516.0,37002.97,14305.37,528.12,54.9
97,262143.0,111044.0,35887.12,18291.291,531.38,55.0
98,173876.64,95206.0,30965.27,12075.4,337.41,55.0
99,195697.6,108643.0,43002.61,11808.98,510.19,55.1
100,218478.4,92445.0,55465.53,34312.82,749.8,55.1
101,232699.05,103955.0,60946.17,13753.5,617.77,55.1
102,190968.95,94304.0,52145.66,5755.71,322.74,55.1
103,236780.33,107129.0,70895.4,14300.18,653.63,55.1
104,7228.48,7462.0,1399.5701,427.31,45.64,55.1
105,228369.12,103710.0,35489.22,13758.69,348.82,55.2
106,180517.12,98956.0,48780.81,4989.32,360.23,55.2
107,262143.0,113265.0,39203.53,16760.24,360.23,55.2
108,224187.05,103916.0,34731.48,7938.97,319.48,55.2
109,207917.92,95361.0,69677.484,13935.15,550.94,55.2
110,194436.48,98725.0,31427.18,11611.76,387.94,55.2
111,5470.08,5524.0,1544.89,501.7,4.89,55.2
112,210723.52,99760.0,32812.91,8103.3203,275.47,55.3
113,262143.0,106600.0,39091.082,21393.18,474.33,55.3
114,153902.56,90549.0,21865.47,12177.47,355.34,55.3
115,214658.08,104066.0,52642.17,13213.74,319.48,55.3
116,262143.0,98141.0,47400.27,52484.742,593.32,55.3
117,256968.33,112901.0,57226.67,21057.56,526.49,55.4
