,FSC-A,FSC-H,SSC-A,PE-A,APC-A,Time
0,213160.64,90776.0,34068.89,16974.76,404.24,51.9
1,177794.4,94044.0,27432.61,11509.69,629.18,51.9
2,106481.76,62181.0,32496.32,8848.95,810.11,52.0
3,187247.2,106457.0,31238.61,9025.41,381.42,52.0
4,145457.77,87457.0,26783.86,7162.2,208.64,52.0
5,169985.77,95140.0,22991.701,8357.63,267.32,52.0
6,103905.76,64832.0,22112.86,7442.46,322.74,52.0
7,207562.88,99860.0,35724.5,14163.51,391.2,52.1
8,172618.88,95016.0,24818.58,9580.74,343.93,52.1
9,233943.36,101644.0,35252.21,19286.041,529.75,52.1
10,257932.64,111104.0,38864.45,21213.26,663.41,52.1
11,203912.8,106380.0,49372.47,11584.08,485.74,52.1
12,216563.2,101852.0,29918.621,20839.58,585.17,52.2
13,180178.88,97257.0,34920.05,13786.37,534.64,52.3
14,69093.92,33080.0,30318.25,283.72,484.11,52.3
15,13960.8,12813.0,1164.29,1537.97,32.6,52.4
16,154742.56,89600.0,24917.19,12718.96,484.11,52.4
17,186839.52,99788.0,37210.57,9113.64,480.85,52.4
18,218372.0,107252.0,49955.48,18085.42,790.55,52.4
19,262143.0,85757.0,68587.58,39134.332,1551.76,52.5
20,186736.48,100921.0,32297.371,9883.49,291.77,52.5
21,182417.77,96020.0,39634.3,17265.4,503.67,52.5
22,243287.52,102715.0,47087.14,20023.02,709.05,52.6
23,189336.0,101729.0,29695.451,9632.64,365.12,52.6
24,224651.84,103473.0,60729.92,13628.94,619.4,52.7
25,220019.52,102300.0,42646.23,15779.33,462.92,52.7
26,217127.69,103196.0,36567.01,34805.87,968.22,52.7
27,199268.16,102560.0,35752.18,10367.89,503.67,52.7
28,237211.52,107832.0,45601.07,21349.93,733.5,52.9
29,199418.23,91536.0,62558.53,19905.38,1144.26,52.9
30,223532.97,109632.0,40634.242,11338.42,515.08,52.9
31,99389.92,55078.0,51374.082,608.96,630.81,53.0
32,73786.72,54889.0,11032.21,6620.71,167.89,53.0
33,202921.6,100180.0,43724.02,18282.64,557.46,53.1
34,162452.64,97545.0,30973.92,11238.08,391.2,53.1
35,39949.28,35981.0,7044.56,2055.24,138.55,53.1
36,205544.64,83061.0,72030.28,51033.27,1056.24,53.2
37,171656.8,99169.0,25074.621,8295.35,267.32,53.2
38,216585.6,87232.0,40961.21,16862.31,596.58,53.2
39,187510.4,98708.0,35167.44,14722.3,474.33,53.3
40,262143.0,120929.0,54185.332,29939.38,888.35,53.3
41,231397.6,104239.0,54937.88,16595.89,764.47,53.3
42,252114.23,95226.0,47466.01,14481.83,652.0,53.4
43,194633.6,94031.0,30980.84,20580.08,702.52997,53.4
44,162910.72,82188.0,55360.0,15301.851,552.57,53.4
45,216888.0,96515.0,30138.33,19247.98,660.15,53.5
46,161351.69,93341.0,21645.76,10072.061,399.35,53.5
47,262143.0,95513.0,95866.22,30838.98,1100.25,53.5
48,207401.6,97604.0,28532.89,9309.13,503.67,53.6
49,195686.4,90952.0,33933.95,14808.8,614.51,53.6
50,199255.84,92903.0,43412.62,12398.91,412.38998,53.6
51,190921.92,96544.0,28885.81,11030.48,355.34,53.7
52,262143.0,111676.0,74384.81,39421.51,1070.91,53.7
53,14924.0,14557.0,3103.62,1330.37,57.05,53.7
54,226998.23,99620.0,74720.43,34856.04,1129.59,53.7
55,226592.8,104861.0,34842.2,20900.13,824.77997,53.8
56,179200.0,96969.0,44265.51,4747.12,503.67,53.8
57,180461.12,99861.0,31679.76,15210.16,461.29,53.9
58,238820.97,104132.0,46120.07,16185.88,590.06,53.9
59,262143.0,82940.0,52329.04,25697.42,963.33,53.9
60,112751.52,53420.0,60633.04,1582.9501,883.46,54.0
61,262143.0,95704.0,99497.49,38345.45,1846.79,54.0
62,197719.2,101374.0,24825.5,7286.7603,301.55,54.0
63,184823.52,75985.0,111915.43,1434.17,1610.44,54.1
64,234913.28,98254.0,51595.52,38502.88,1048.09,54.1
65,234654.56,112368.0,52765.0,15805.28,291.77,54.1
66,222141.92,97210.0,44774.13,13167.03,619.4,54.2
67,162262.23,91172.0,28718.0,12604.78,490.63,54.2
68,182026.88,95914.0,29823.47,14943.74,309.7,54.3
69,202158.88,83296.0,37011.62,10366.16,431.95,54.3
70,181437.77,90025.0,34094.84,9035.79,361.86,54.3
71,192692.64,106417.0,42876.32,16191.07,477.59,54.3
72,214773.44,101996.0,40649.81,15525.0205,454.77,54.3
73,171773.28,88732.0,34644.98,25860.041,819.89,54.3
74,230901.44,99693.0,45723.902,17737.69,844.34,54.4
75,236611.2,98144.0,43083.92,15362.4,498.78,54.4
76,190544.48,94029.0,38893.86,8618.86,415.65,54.4
77,251226.08,105921.0,48744.48,43587.35,1127.96,54.5
78,202586.72,97870.0,49303.27,14841.67,624.29,54.5
79,165291.84,85432.0,47092.332,11789.95,518.34,54.5
80,221226.88,105373.0,38473.47,10369.62,599.84,54.6
81,170634.23,85360.0,50811.832,19107.85,731.87,54.6
82,262143.0,104349.0,60709.16,31195.36,1106.77,54.7
83,225021.44,92644.0,59323.43,20133.74,433.58,54.7
84,4948.16,5271.0,316.59,235.28,11.41,54.7
85,181108.48,97104.0,28479.26,12542.5,330.88998,54.7
86,223385.12,89229.0,97713.86,1842.4501,1424.62,54.7
87,234118.08,110180.0,49820.54,18630.371,797.07,54.8
88,113548.96,59254.0,60309.53,339.08002,505.3,54.9
89,202062.56,97176.0,34200.37,10686.21,399.35,54.9
90,140240.8,78691.0,37406.06,17350.17,652.0,55.0
91,262143.0,106757.0,59560.44,20116.44,756.32,55.0
92,172345.6,97475.0,25417.16,14516.43,370.01,55.0
