,0
0,19.685663
1,12.688194
2,13.973874
3,40.909954
4,0.37938145
5,12.646044
6,18.800453
7,7.3768554
8,-0.25292072
9,7.629777
10,8.767922
11,-0.021076674
12,9.273761
13,4.0467334
14,-0.042153314
15,23.542704
16,11.297128
17,-0.21076722
18,3.9835033
19,15.112018
20,13.57341
21,19.13768
22,27.505125
23,9.400219
24,16.62954
25,24.069635
26,1.981213
27,0.042153478
28,7.629777
29,33.469845
30,3.9413502
31,4.5104203
32,2.2762876
33,5.585335
34,-0.08430689
35,0.63230217
36,2.1287506
37,16.376621
38,-0.12646027
39,23.353022
40,34.81878
41,18.062756
42,0.14753726
43,9.315919
44,17.830912
45,32.16309
46,1.0749135
47,4.2575
48,7.4400907
49,8.894378
50,10.306526
51,-0.042153314
52,-0.23184398
53,4.0256557
54,15.112018
55,10.475131
56,14.226793
57,36.905373
58,40.383038
59,3.8148885
60,12.751423
61,6.6391683
62,6.8710136
63,0.12646052
64,3.8781195
65,49.361702
66,55.031353
67,12.498502
68,5.5642576
69,51.15324
70,12.941109
71,15.5757
72,2.5081315
73,10.559443
74,28.221739
75,31.657257
76,28.558987
77,7.777318
78,4.109963
79,2.7188995
80,5.2691846
81,16.94569
82,10.369757
83,25.439623
84,4.6579576
85,0.08430692
86,2.9296656
87,14.964477
88,3.6884284
89,3.9624262
90,7.6930056
91,1.8125991
92,0.86414623
93,15.280627
94,18.125994
95,5.0162625
96,0.14753726
97,4.4261146
98,0.10538359
99,0.168614
100,3.540892
101,43.755295
102,11.31821
103,2.2341335
104,17.578001
105,0.7166087
106,-0.021076674
107,3.3301246
108,0.56907195
109,-0.042153314
110,10.833437
111,12.182351
112,5.4167223
113,3.0561266
114,0.08430692
115,41.205032
116,-0.14753707
117,2.6135156
118,3.772735
119,-0.10538363
120,0.042153478
121,12.624969
122,2.0022893
123,27.020376
124,5.964717
125,9.863912
126,4.278576
127,51.6169
128,8.219929
129,62.113113
130,65.82261
131,4.6158037
132,23.395168
133,10.559443
134,9.948218
135,4.299655
136,-0.21076722
137,0.1896908
138,-0.16861378
139,5.479951
140,13.742032
141,9.948218
142,0.1896908
143,0.5479949
144,17.725538
145,6.57594
146,0.10538359
147,29.022663
148,4.8687243
149,0.6112251
150,11.971579
151,10.137913
152,0.0210769
153,2.5713615
154,11.44466
155,54.715187
156,16.271246
157,8.4306965
158,19.432749
159,14.142486
160,1.4121414
161,5.859331
162,7.081783
163,11.191746
164,0.10538359
165,106.18453
166,5.3745675
167,6.702404
168,6.702404
169,18.399982
170,4.9108806
171,23.079027
172,-0.12646027
173,-0.4215346
174,0.0
175,3.1193569
176,34.88199
177,0.1896908
178,14.690488
179,15.238477
180,2.0444431
181,3.3722775
182,26.177298
183,4.109963
184,17.430462
185,0.3161513
186,1.285681
187,13.910649
188,5.4167223
189,5.100569
190,15.681085
191,11.697588
192,0.06323018
193,4.362885
194,9.800677
195,40.509483
196,2.5713615
197,80.576355
198,28.980513
199,0.40045798
200,7.3979325
201,2.4027474
202,-0.25292072
203,72.35646
204,0.168614
205,6.0700984
206,31.17248
207,-0.18969058
208,24.84947
209,43.31267
210,21.22428
211,73.97933
212,0.12646052
213,0.4636882
214,0.4636882
215,31.720486
216,2.8453593
217,0.08430692
218,-0.021076674
219,7.039633
220,26.74638
221,-0.08430689
222,1.7282923
223,8.388538
224,10.095755
225,0.63230217
226,48.307858
227,0.27399758
228,4.7844186
229,5.7539477
230,0.40045798
231,23.732395
232,25.334232
233,10.517296
234,14.859093
235,1.8125991
236,17.430462
237,0.73768586
238,16.94569
239,12.266655
240,0.08430692
241,-0.16861378
242,13.257267
243,3.3090484
244,0.08430692
245,27.989902
246,5.9225607
247,22.826103
248,12.308816
249,0.12646052
250,32.416004
251,28.411425
252,22.341337
253,2.3816707
254,10.98098
255,-0.33722764
256,18.463215
257,15.512483
258,5.7539477
259,27.06253
260,15.112018
261,0.42153487
262,19.348433
263,20.950274
264,14.353255
265,-0.021076674
266,6.934246
267,-0.14753707
268,0.5479949
269,22.193796
270,2.1076734
271,2.592438
272,4.7422643
273,19.517061
274,1.5807554
275,20.107208
276,26.725292
277,1.3278342
278,2.0022893
279,0.27399758
280,7.018553
281,5.395643
282,5.711796
283,46.558495
284,1.8547528
285,2.0655205
286,20.086128
287,3.7516596
288,3.0982792
289,26.219454
290,3.393354
291,-0.27399746
292,9.379142
293,28.495758
294,-0.14753707
295,6.6391683
296,18.25245
297,-0.23184398
298,22.40456
299,9.084074
300,36.989677
301,7.967005
302,1.7282923
303,4.2364244
304,0.06323018
305,14.690488
306,0.27399758
307,0.1896908
308,6.112256
309,85.5083
310,7.2082415
311,12.983273
312,0.44261146
313,-0.08430689
314,2.2130568
315,1.3699876
316,9.653144
317,16.94569
318,0.2950745
319,1.4542949
320,16.503086
321,1.7493684
322,30.308346
323,4.447191
324,0.06323018
325,20.191502
326,2.023367
327,0.08430692
328,0.73768586
329,8.746842
330,44.21897
331,44.21897
332,37.853806
333,23.858854
334,24.491152
335,11.149595
336,0.5269186
337,77.94179
338,-0.4004579
339,2.255211
340,41.71085
341,8.788996
342,3.1404335
343,6.428401
344,2.1076734
345,1.3699876
346,41.795155
347,6.0911746
348,1.4753717
349,27.315458
350,9.463457
351,10.222213
352,37.664112
353,31.256798
354,0.12646052
355,12.498502
356,15.364936
357,0.0
358,8.1567
359,22.193796
360,8.00916
361,0.23184428
362,16.102625
363,47.823112
364,0.3372278
365,0.27399758
366,9.906063
367,0.0210769
368,0.168614
369,26.43022
370,2.4027474
371,-0.042153314
372,13.151879
373,14.416483
374,37.474415
375,21.582586
376,38.67579
377,74.52735
378,46.47422
379,1.7282923
380,5.5010285
381,75.77086
382,2.592438
383,31.720486
384,6.934246
385,35.66185
386,-0.042153314
387,51.57475
388,-0.16861378
389,0.042153478
390,-0.18969058
391,0.23184428
392,79.122055
393,11.760821
394,17.072147
395,32.352787
396,10.369757
397,1.8125991
398,1.8336762
399,0.21076742
400,31.994474
401,0.3583046
402,1.2013739
403,15.807554
404,13.678797
405,0.3372278
406,2.0865974
407,43.755295
408,19.264137
409,-0.16861378
410,0.08430692
411,-0.33722764
412,13.4680395
413,0.27399758
414,77.119736
415,-0.042153314
416,0.0
417,0.0
418,2.5292084
419,44.977757
420,18.969069
421,248.49487
422,2.7399755
423,6.112256
424,110.58965
425,1.1592205
426,0.08430692
427,22.678562
428,-0.06323005
429,46.72714
430,0.08430692
431,0.168614
432,1.8547528
433,6.428401
434,2.8664355
435,33.469845
436,25.903305
437,0.27399758
438,16.439857
439,12.561737
440,0.44261146
441,12.582809
442,6.13333
443,27.125763
444,14.10034
445,30.708809
446,10.053604
447,26.809616
448,0.0210769
449,4.8054967
450,8.093467
451,0.06323018
452,2.5713615
453,0.10538359
454,-0.18969058
455,1.7704458
456,1.3278342
457,80.59746
458,247.10367
459,0.0210769
460,18.25245
461,26.324833
462,8.725769
463,0.56907195
464,0.86414623
465,10.58052
466,4.109963
467,-0.06323005
468,0.56907195
469,-0.2950742
470,49.48816
471,23.774569
472,1.6229084
473,33.006165
474,6.3230176
475,-0.10538363
476,8.051314
477,16.924618
478,8.219929
479,3.393354
480,28.896198
481,33.76493
482,-0.3161509
483,17.578001
484,2.9085896
485,-0.16861378
486,-0.4215346
487,0.14753726
488,145.32399
489,11.908353
490,7.271474
491,36.29414
492,22.488876
493,15.154172
494,2.9928963
495,0.0210769
496,8.093467
497,13.130809
498,1.6229084
499,25.123465
500,5.0794945
501,7.1450114
502,-0.33722764
503,1.7282923
504,4.447191
505,-0.18969058
506,13.657719
507,3.498739
508,2.550285
509,0.042153478
510,6.934246
511,45.799732
512,0.8219925
513,9.779604
514,24.638714
515,-0.042153314
516,15.891861
517,6.955322
518,14.079257
519,10.685904
520,19.58029
521,-0.16861378
522,22.025194
523,6.112256
524,32.437084
525,0.0210769
526,0.1896908
527,6.8710136
528,0.5479949
529,17.114307
530,0.44261146
531,0.27399758
532,50.81602
533,45.82083
534,-0.06323005
535,1.9179832
536,0.23184428
537,14.542946
538,14.268952
539,2.3816707
540,4.0256557
541,15.364936
542,3.4144316
543,14.648332
544,7.7562346
545,-0.042153314
546,6.1754847
547,5.121646
548,6.5970182
549,17.97846
550,-0.3583044
551,4.2575
552,2.5713615
553,16.713846
554,1.7282923
555,-0.21076722
556,2.3184407
557,4.9530334
558,0.042153478
559,23.479485
560,0.06323018
561,7.629777
562,20.001816
563,0.9062997
564,12.119122
565,0.0
566,5.9225607
567,61.544064
568,2.1498272
569,14.943407
570,3.3301246
571,6.0068674
572,18.189213
573,13.425879
574,22.004099
575,4.6158037
576,3.1825874
577,-0.08430689
578,48.097103
579,4.0888853
580,5.0373406
581,0.1896908
582,1.7282923
583,0.08430692
584,2.255211
585,4.215346
586,15.470319
587,25.249933
588,13.23619
589,0.40045798
590,17.051073
591,23.795633
592,20.149351
593,2.023367
594,0.3161513
595,6.0068674
596,0.8430694
597,5.7961016
598,16.397707
599,-0.021076674
600,23.69025
601,0.14753726
602,5.9225607
603,-0.08430689
604,4.299655
605,3.2668946
606,20.507652
607,18.652908
608,6.723477
609,0.3372278
610,27.273289
611,0.042153478
612,26.029762
613,12.582809
614,31.825872
615,20.486584
616,1.2224511
617,-0.27399746
618,0.12646052
619,2.6556687
620,-0.18969058
621,3.3090484
622,33.99676
623,6.217634
624,2.444901
625,7.6930056
626,57.72918
627,5.859331
628,172.15468
629,15.0909395
630,25.249933
631,8.241005
632,4.5104203
633,0.73768586
634,10.875598
635,9.315919
636,0.0
637,3.0350492
638,12.203426
639,-0.08430689
640,-0.21076722
641,7.587628
642,4.7844186
